Day,Date,DJIA,FTSE 100,CAC 40,Nikkei 225
0,07/08/2006,11219.38,11131.84,6373.89,131.77
1,08/08/2006,11173.59,11096.28,6378.16,134.38
2,09/08/2006,11076.18,11185.35,6474.04,135.94
3,10/08/2006,11124.37,11016.71,6357.49,135.44
4,11/08/2006,11088.02,11040.73,6364.76,134.10
5,14/08/2006,11097.87,11109.50,6431.67,136.17
6,15/08/2006,11230.26,11179.47,6540.95,136.32
7,16/08/2006,11327.12,11203.54,6603.23,138.81
8,17/08/2006,11334.96,11170.05,6617.16,138.67
9,18/08/2006,11381.47,11096.03,6584.22,139.16
10,21/08/2006,11345.04,11221.13,6594.30,137.83
11,22/08/2006,11339.84,11147.06,6571.41,138.94
12,23/08/2006,11297.90,11097.08,6502.98,138.70
13,24/08/2006,11304.46,11100.82,6541.52,137.21
14,25/08/2006,11284.05,11088.22,6515.14,135.88
15,29/08/2006,11369.94,11145.96,6583.72,135.91
16,30/08/2006,11382.91,11300.65,6651.42,135.60
17,31/08/2006,11381.15,11232.22,6610.83,137.60
18,01/09/2006,11464.15,11323.52,6636.94,137.52
19,05/09/2006,11469.28,11320.97,6625.06,141.14
20,06/09/2006,11406.20,11150.64,6541.59,139.62
21,07/09/2006,11331.44,10978.08,6442.69,137.50
22,08/09/2006,11392.11,10965.48,6427.94,137.75
23,11/09/2006,11396.84,10897.12,6419.99,134.15
24,12/09/2006,11498.09,11057.60,6504.21,133.47
25,13/09/2006,11543.32,11045.52,6513.60,133.85
26,14/09/2006,11527.39,11112.02,6533.02,135.78
27,15/09/2006,11560.77,11037.01,6508.39,134.93
28,19/09/2006,11540.91,11003.44,6498.97,135.47
29,20/09/2006,11613.19,11082.43,6596.47,134.06
30,21/09/2006,11533.23,11185.45,6625.52,135.59
31,22/09/2006,11508.10,11076.34,6582.96,134.34
32,25/09/2006,11575.81,11012.71,6556.87,134.21
33,26/09/2006,11669.39,11131.06,6615.45,132.92
